"","artist","Genres","Labels","Associated acts","Birth name","Born","Died","Instruments","Notable instruments","Occupation(s)","Origin","Years active","Members","Past members","Website","Also known as"
"567","Local Natives","Indie rock","Frenchkiss, Infectious, Loma Vista",NA,NA,NA,NA,NA,NA,NA,"Silver Lake, Los Angeles, California, United States","2005–present","Taylor Rice
Kelcey Ayer
Ryan Hahn
Matt Frazier
Nik Ewing","Andy Hamm
Chris ""McGahee"" Filley
Spencer Knapp
Andy Savage","thelocalnatives.com",NA
"568","The xx","Indie pop
indie electronic[1]
dream pop[2]
electronic rock[3]","Young Turks
XL",NA,NA,NA,NA,NA,NA,NA,"Wandsworth, London","2005–present","Oliver Sim
Romy Madley Croft
Jamie xx","Baria Qureshi","thexx.info",NA
"569","Frightened Rabbit","Indie rock, indie folk","Hits The Fan Records (2006)Fat Cat Records (2007—2010)Atlantic Records (2010–present)","Owl John, The Fruit Tree Foundation, Make Model, Piano Bar Fight, The Twilight Sad, We Were Promised Jetpacks",NA,NA,NA,NA,NA,NA,"Selkirk, Scotland","2003–present","Scott HutchisonGrant Hutchison
Billy Kennedy
Andy Monaghan
Simon Liddell","Gordon Skene","www.frightenedrabbit.com",NA
"570","The Tallest Man On Earth","Folk
indie folk","Gravitation
Dead Oceans
Mexican Summer","Montezumas, Bon Iver, Strand of Oaks, Idiot Wind","Saras Per Kristian Matsson","(1983-04-30) 30 April 1983 (age 34)Leksand, Dalarna, Sweden",NA,"Vocals
guitar
banjo
piano",NA,NA,NA,"2005–present",NA,NA,"www.thetallestmanonearth.com",NA
"571","Matt and Kim","Indie pop, dance-pop, indie rock","FADER Label
Harvest Records",NA,NA,NA,NA,NA,NA,NA,"Brooklyn, New York, U.S.","2004–present","Matt Johnson
Kim Schifino",NA,"www.mattandkimmusic.com",NA
"572","Miike Snow","Indie rock
indie pop
synthpop
indietronica
alternative dance","Downtown
MapleMusic
Columbia
RCRD LBL","Galantis
Bloodshy & Avant
The A.M.
LIV
Peter Bjorn and John
Robotberget",NA,NA,NA,NA,NA,NA,"Stockholm, Sweden","2007–present","Christian Karlsson
Pontus Winnberg
Andrew Wyatt",NA,"www.miikesnow.com",NA
"573","Deadmau5","Progressive house
electro house
electronic
ambient","mau5trap
Astralwerks
Virgin EMI
Ultra
Ministry of Sound
SongBird
Play
Virgin
Parlophone
Kobalt","Kaskade
Rob Swire
Wolfgang Gartner
BSOD
Skrillex
Eric Prydz
Imogen Heap
Colleen D'Agostino
Grabbitz","Joel Thomas Zimmerman","(1981-01-05) January 5, 1981 (age 36)Niagara Falls, Ontario, Canada",NA,"Synthesizer
keyboard
piano
digital audio workstation
programming",NA,"Record producer
DJ
Composer",NA,"1998–present",NA,NA,"deadmau5.com","Halcyon441
Karma K
testpilot[1]"
"574","Edward Sharpe & The Magnetic Zeros","Indie folk, psychedelic folk, gospel, neo-psychedelia","Rough Trade Records, Communion, Community Music","Ima Robot, We Are Each Other, Sugarcult, Alexander, Fool's Gold",NA,NA,NA,NA,NA,NA,"Los Angeles, California, United States","2007–present","Alex Ebert
Stewart Cole
Josh CollazoOrpheo McCord
Christian Letts
Seth Ford-Young
Mark Noseworthy
Christopher Richard
Mitchell Yoshida
Nico Aglietti","Jade Castrinos (Lemons)
Aaron EmbryNora Kirkpatrick
Aaron Older
Tay Strathairn","edwardsharpeandthemagneticzeros.com",NA
"575","Grinderman","Alternative rock, garage rock, noise rock, psychedelic rock","Mute","Nick Cave and the Bad Seeds, Dirty Three, The Triffids, The Vanity Set",NA,NA,NA,NA,NA,NA,"London, United Kingdom","2006–2011, 2013",NA,"Nick CaveWarren EllisMartyn P. CaseyJim Sclavunos","www.grinderman.com",NA
"576","Kings of Convenience","Indie pop, indie folk","EMI, Astralwerks, Kindercore","The Whitest Boy Alive",NA,NA,NA,NA,NA,NA,"Bergen, Norway","1999–present","Erlend ØyeEirik Glambek Bøe",NA,"http://www.kingsofconvenience.eu/",NA
"577","Jakob Dylan","Rock
folk
Americana","Columbia
Interscope
Virgin",NA,"Jakob Luke Dylan","(1969-12-09) December 9, 1969 (age 47)New York City, New York, U.S.",NA,"Vocals
guitar
piano
bass guitar",NA,"Singer-songwriter","Los Angeles, California, U.S.","1987–present",NA,NA,"jakobdylan.com",NA
"578","Robyn","Electropop
dance-pop
R&B[2][3][4][5][6]","BMG
RCA
Jive
Konichiwa
Interscope","The Knife
Röyksopp
Christian Falk
Snoop Dogg
Kleerup
I Blame Coco
Teddybears STHLM
Neneh Cherry
Rye Rye","Robin Miriam Carlsson","(1979-06-12) 12 June 1979 (age 38)[1]Stockholm, Sweden",NA,"Vocals
piano
keyboards",NA,"Singer
songwriter
record producer
DJ",NA,"1989–present",NA,NA,"robyn.com",NA
"579","Four Tet","Electronica, folktronica, IDM, trip hop, post-dubstep, post-rock, outsider house","Output RecordingsDomino RecordsText Records","Jamie xx, Rome Fortune, Floating Points, Fridge, Steve Reid, Burial, Thom Yorke, Madvillain, Caribou",NA,"1978 (age 38–39)",NA,"Piano, drums, guitar, harpsichord, horn, synthesizer",NA,NA,"Putney, London, England[1]","1998–present",NA,NA,"Official website","Four Tet
4T Recordings
Percussions
ꉺლ༽இ•̛)ྀ ༎ຶ ༽ৣৢ؞ৢ؞ؖ ꉺლ
00110100 01010100"
"580","Teenage Fanclub","Alternative rock, indie pop, jangle pop, power pop","Paperhouse, Creation, Columbia, PeMa, Matador, DGC","The Pastels",NA,NA,NA,NA,NA,NA,"Bellshill, Scotland","1989–present[1]","Norman BlakeRaymond McGinleyGerard LoveFrancis MacDonald
Dave McGowan","Brendan O'Hare
Paul QuinnFinlay MacDonald",NA,NA
"581","Marina and the Diamonds","Indie pop
new wave
synth-pop
electropop","Neon Gold
679
Atlantic
Chop Shop
Elektra",NA,"Marina Lambrini Diamandis","(1985-10-10) 10 October 1985 (age 31)Brynmawr, Wales",NA,"Vocals, piano, keyboards",NA,"Singer-songwriter","London, England","2005–present",NA,NA,"marinaandthediamonds.com",NA
"582","Deerhunter","Indie rock
psychedelic pop
experimental rock
garage rock","4AD, Kranky, Stickfigure","Atlas Sound, Lotus Plaza, Moon Diagrams",NA,NA,NA,NA,NA,NA,"Atlanta, Georgia, United States","2001–present","Bradford Cox
Lockett Pundt
Moses Archuleta
Josh McKay
Javier Morales
Rhasaan Manning","Dan Walton
Paul Harper
Justin Bosworth
Colin Mee
Adam Bruneau
Whitney Petty
Josh Fauver
Frankie Broyles","deerhuntermusic.com",NA
"583","Menomena","Experimental rock, indie rock","Barsuk, FILMguerrero","LackthereofRamona FallsEL VYPfarmers",NA,NA,NA,NA,NA,NA,"Portland, Oregon, United States","2000–present","Danny Seim
Justin Harris","Brent Knopf","menomena.com",NA
"584","Ariel Pink's Haunted Graffiti","Hypnagogic pop
lo-fi[1][2][3]

psychedelic pop[4][5]
avant-garde pop[6][7]
outsider music[8][9][10]","Paw Tracks
Human Ear Music
UUAR
Manimal Vinyl
4AD
Ballbearings Piñatas
JesusWarhol
Tiny Creatures
Mexican Summer","John Maus
R. Stevie Moore
coL
Holy Shit
Atheif
Soko
Vas Deferens Organization[11]","Ariel Marcus Rosenberg","(1978-06-24) June 24, 1978 (age 39)Los Angeles, California, United States",NA,"Vocals
various instruments",NA,"Musician
producer
singer-songwriter",NA,"1996–present",NA,NA,"ariel-pink.com",NA
"585","Ted Leo and The Pharmacists","Punk rock, indie rock, art punk","Gern Blandsten, Ace Fu, Lookout!, Touch and Go, Matador","Citizens Arrest, Chisel, the Sin-Eaters, the Both",NA,NA,NA,NA,NA,NA,"Washington, D.C.","1999–present","Ted LeoJames Canty
Chris Wilson
Marty Key
Adrienne Berry
Ralph Darden","Jodi V.B.Amy Farina
Dorien Garry
Dave Lerner","www.tedleo.com",NA
"586","Miyavi","Rock
pop
R&B
funk
hip hop
electronic","PS Company
Universal
EMI Music Japan","Dué le Quartz
S.K.I.N.","Takamasa Ishihara (貴雅 石原)","(1981-09-14) September 14, 1981 (age 36)",NA,"Vocals
guitar
shamisen
piano",NA,"Singer-songwriter
arranger
record producer
actor","Konohana-ku, Osaka, Japan","1997–present",NA,NA,"www.myv382tokyo.com","Miyabi, 雅, MYV, 382,[1] DJ 382,[2] MYV 382 TOKYO,[2]
雅-Miyavi-[3]"
"587","Blitzen Trapper","Alternative country","Lidkercow Ltd.Sub Pop, Vagrant Records, Lojinx",NA,NA,NA,NA,NA,NA,NA,"Portland, Oregon, US","2000–present","Eric Earley
Erik Menteer
Brian Adrian Koch
Michael Van Pelt
Marty Marquis","Drew Laughery","blitzentrapper.net",NA
"588","Die Antwoord","Alternative hip hop
EDM","Zef
Cherrytree
Interscope
Kobalt","Jack Parow
Marilyn Manson
Fokofpolisiekar
Aphex Twin
MaxNormal.TV
The Constructus Corporation
Watkin Tudor Jones
Leon Botha
Diplo
Flea
Dita Von Teese
Jack Black
Little Big",NA,NA,NA,NA,NA,NA,"Cape Town, South Africa","2008–present","Ninja
Yolandi Visser
God (formerly DJ Hi-Tek)",NA,"www.dieantwoord.com",NA
"589","Peter Hook & The Light","Post-punk, alternative rock, new wave, alternative dance, synthpop","Haçienda","Joy Division, New Order, Monaco, Haven, Rowetta, Revenge.",NA,NA,NA,NA,NA,NA,"United Kingdom","2010 (2010)–present","Peter Hook
Jack Bates
Paul Kehoe
Andy PooleDavid Potts","Nat Wason","www.peterhook.co.uk",NA
"590","Trombone Shorty & Orleans Avenue","Jazz","Verve Forecast Bluenote",NA,"Troy Andrews","(1986-01-02) January 2, 1986 (age 31)",NA,"Trombone, Trumpet",NA,"Musician",NA,NA,NA,NA,"tromboneshorty.com",NA
"591","City and Colour","Folk
acoustic
post-hardcore
melodic hardcore","Dine Alone
Vagrant","Alexisonfire
City and Colour
You+Me","Dallas Michael John Albert Green[1]","(1980-09-29) September 29, 1980 (age 36)St. Catharines, Ontario, Canada",NA,"Vocals, guitar, piano",NA,"Musician
singer-songwriter",NA,"2001–present",NA,NA,"CityAndColour.ca","City and Colour"
"592","The Used","Emo
post-hardcore
punk rock
screamo
alternative rock","Hopeless
Reprise","Dumb Luck
Strange Itch
Saosin",NA,NA,NA,NA,NA,NA,"Orem, Utah, U.S.","2001–present","Jeph Howard
Bert McCracken
Dan Whitesides
Justin Shekoski","Branden Steineckert
Quinn Allman","theused.net",NA
"593","Big Boi","Hip hop","Purple Ribbon
Epic
LaFace
RCA
Def Jam","Outkast
Dungeon Family
Purple Ribbon All-Stars
Phantogram
Killer Mike
Janelle Monáe","Antwan André Patton","(1975-02-01) February 1, 1975 (age 42)Savannah, Georgia, U.S.",NA,"Vocals
keyboards",NA,"Rapper
songwriter
actor
record producer","Atlanta, Georgia, U.S.","1991–present",NA,NA,"bigboi.com",NA
"594","The Posies","Alternative rock, power pop","DGC, Rykodisc, PopLlama, Houston Party, Not Lame, Casa Recording Co., Lojinx","The Fastbacks, Flop, Fountains of Wayne, Love Battery, The Minus 5, Sky Cries Mary, Sunny Day Real Estate, Big Star, The Orange Humble Band",NA,NA,NA,NA,NA,NA,"Bellingham, Washington, United States","1986–present","Jon AuerKen Stringfellow","Arthur ""Rick"" Roberts
Dave Fox
Mike Musburger
Joe Skyward†Brian Young
Darius Minwalla†
Matt Harris","Official website",NA
"595","Tears For Fears","New wave[1][2][3]
pop rock[4][5]
synth-pop[6][7]","Epic
Gut
Mercury
Fontana
Universal","Graduate
Oleta Adams",NA,NA,NA,NA,NA,NA,"Bath, England","1981–present","Roland Orzabal
Curt Smith","Ian Stanley
Manny Elias","tearsforfears.com",NA
"596","Dave Rawlings Machine","Bluegrass, Americana, folk, old time, neotraditional country, American Primitivism",NA,"Dave Rawlings Machine, Gillian Welch, Willie Watson",NA,"North Smithfield, Rhode Island, U.S.",NA,"Vocals, guitar","Notable instruments","Musician",NA,NA,NA,NA,"www.daverawlingsmachine.com",NA
"597","Justin Townes Earle","Americana
folk
country
blues
soul","New West Records, Vagrant, Loose Music, Bloodshot Records","Steve Earle
Dukes
Dawn Landes
Jason Isbell
Old Crow Medicine Show
Caitlin Rose",NA,"(1982-01-04) January 4, 1982 (age 35)Nashville, Tennessee, U.S.",NA,"Vocals, guitar",NA,"Singer-songwriter, musician",NA,NA,NA,NA,"justintownesearle.com",NA
"598","The Sword","Heavy metal
stoner metal
hard rock
doom metal","Razor & Tie
Napalm
Cortex
Kemado
Rough Trade
P-Vine
Impedance
Toy's Factory","Ultimate Dragons
Those Peabodys
Recover",NA,NA,NA,NA,NA,NA,"Austin, Texas, United States","2003 (2003)–present","John D. Cronise
Kyle Shutt
Bryan Richie
Santiago ""Jimmy"" Vela III","Trivett Wingo
Kevin Fender","www.theswordofficial.com",NA
"599","Ezra Furman","Indie rock, psychedelic rock","Bar/None RecordsBella Union","Ezra Furman and the Harpoons, Ezra Furman and the Boy-Friends, Krill",NA,"(1986-09-05) September 5, 1986 (age 31)Chicago, Illinois, USA",NA,"Guitar, vocals, harmonica",NA,"Musician, songwriter",NA,NA,NA,NA,"www.ezrafurman.com",NA
"600","Railroad Earth","Americana, progressive bluegrass, jam band","SCI Fidelity, Black Bear Records, One Haven Music","The Revivalists,",NA,NA,NA,NA,NA,NA,"Stillwater, New Jersey, United States","2001–present","Todd Sheaffer
Tim Carbone
John Skehan
Andy Goessling
Carey Harmon
Andrew Altman","Dave Von Dollen
Johnny Grubb","http://railroad.earth",NA
"601","Perpetual Groove","Rock, Jam Band","Tree Leaf Records","The Revivalists",NA,NA,NA,NA,NA,NA,"Savannah, Georgia, United States","1997–2013, 2015-","Brock Butler, Adam Perry, Matt McDonald, Albert Suttle","Joe Stickney, Brett Hinton, John Hruby",NA,NA
"602","Needtobreathe","Christian rock
Southern rock
country rock
indie rock","Lava
Atlantic
Sparrow
Word",NA,NA,NA,NA,NA,NA,NA,"Seneca, South Carolina, United States","1998–present","Bear Rinehart
Bo Rinehart
Seth Bolt
Josh Lovelace","Joe Stillwell","www.needtobreathe.com",NA
"603","Steel Train","Indie rock
folk rock","Drive Thru",NA,NA,NA,NA,NA,NA,NA,"New Jersey, USA","2002–2013",NA,"Matthias Gruber
Matthew GoldmanScott Irby-RanniarJack AntonoffEvan Winiker
Daniel Silbert
Jon Shiffman
Justin Huey",NA,NA
"604","Wild Nothing","Indie rock, dream pop, chillwave, synthpop, new wave, shoegaze, post-punk revival","Captured Tracks","Jack and the Whale, FACEPAINT, Real Estate",NA,NA,NA,NA,NA,NA,"Blacksburg, Virginia, United States","2009–present","Jack Tatum
Jeff Haley
Nathan Goodman
Elroy FinnMatt Kallman","Kevin Knight","Wildnothingmusic.com",NA
"605","La Roux","Synthpop
new wave","Kitsuné
Polydor
Cherrytree
Interscope","Major Lazer
Franz Ferdinand",NA,NA,NA,NA,NA,NA,"London, England","2006 (2006)–present","Elly Jackson","Ben Langmaid","laroux.co.uk","Automan"
"606","Evelyn Evelyn","Baroque pop, americana, dark cabaret","Eleven, 8ft.",NA,NA,NA,NA,NA,NA,NA,"Walla Walla, Washington","2007 (2007)–present","Amanda PalmerJason Webley",NA,"evelynevelyn.com",NA
"607","Tinariwen","Tishoumaren, world, blues, folk, rock","Independiente, EMMA Productions, Tribal Union, Wayward Records, Outside Music, World Village Records",NA,NA,NA,NA,NA,NA,NA,"Tessalit, Mali","1979–present",NA,NA,"www.tinariwen.com",NA
"608","Seu Jorge","MPB, samba, rock, soul, funk",NA,"Farofa Carioca, David Bowie","Jorge Mário da Silva","(1970-06-08) June 8, 1970 (age 47)[1]",NA,NA,NA,"Musician
Singer-songwriter
Actor","Belford Roxo, Rio de Janeiro, Brazil",NA,NA,NA,"Official website",NA
"609","Southern Culture On The Skids","Alternative rock, neo-psychedelia, experimental rock, rockabilly, surf rock, psychobilly","Lloyd Street
MoistPlan 9Caroline
Safe HouseGeffenEstrusTVTYep Roc",NA,NA,NA,NA,NA,NA,NA,"Chapel Hill, North Carolina","1983, 1987–present","Rick Miller
Dave Hartman
Mary Huff","Stan Lewis
Leslie Land
Chip Shelby
Chris Bess
Tim Barnes","Official website",NA
"610","Super Diamond",NA,NA,NA,NA,NA,NA,NA,NA,NA,"San Francisco",NA,"Randy Cordeiro, Matt Tidmarsh, Rama Kolesnikow, James Terris, Vince Littleton, Chris Collins",NA,"www.superdiamond.com",NA
"611","Suicidal Tendencies","Crossover thrash
hardcore punk[1][2]
funk metal[3]
skate punk[4][5]","Frontier
Caroline
Virgin
Epic
Suicidal","Infectious Grooves
Los Cycos
No Mercy
Slayer
Metallica",NA,NA,NA,NA,NA,NA,"Venice, California, U.S.","1980–present(Hiatus: 1995–1996)","Mike MuirDean PleasantsDave Lombardo
Ra Díaz
Jeff Pogan","Mike Ball
Rick BattsonRon BrunerStephen BrunerMike Clark
Ric ClaytonJimmy DeGrasso
Mike Dunnigan
Sean Dunnigan
Carlos EgertGrant Estes
Andrew EvansJosh FreeseRocky GeorgeBob HeathcoteR.J. HerreraDave HidalgoLouiche Mayorga
Eric Moore
Richard Lucas ashJon NelsonJosh PaulThomas PridgenGreg Saenz
Nico SantoraAmery Smith
Jason SpeirRobert TrujilloBrooks Wackerman
Tim ""RAWBIZ"" Williams","www.suicidaltendencies.com","S.T.
SxTx
Suicidal"
"612","Cage the Elephant","Alternative rock
garage rock
indie rock
punk blues","Relentless
RED Ink
Jive
RCA","Perfect Confusion
The Black Keys
Sleeper Agent
Grouplove
Juliette Lewis
Morning Teleportation
Foo Fighters
Queens of the Stone Age",NA,NA,NA,NA,NA,NA,"Bowling Green, Kentucky, United States","2006–present","Matt Shultz
Brad Shultz
Nick Bockrath
Matthan Minster
Daniel Tichenor
Jared Champion","Lincoln Parish","cagetheelephant.com",NA
"613","The Cribs","Indie rock
alternative rock
garage rock
punk rock
power pop
lo-fi","SonyArts & CraftsHostessformer: Wichita, Warner Bros., Universal, V2","The Smiths, Modest Mouse",NA,NA,NA,NA,NA,NA,"Wakefield, West Yorkshire, England, United Kingdom","2002–present","Gary JarmanRyan JarmanRoss Jarman","Johnny Marr","www.thecribs.com",NA
"614","Tea Leaf Green","Rock, jam","Surfdog",NA,NA,NA,NA,NA,NA,NA,"San Francisco, California, US","1998–present","Scott Rager
Josh Clark
Trevor Garrod
Eric DiBerardino
Cochrane McMillan","Ben ChambersReed Mathis","www.tealeafgreen.com",NA
"615","Public Image Ltd.","Post-punk
experimental rock
alternative rock
noise rock[1]
avant-funk[2]","Virgin
Warner Bros.
Elektra
PiL Official","Sex Pistols
The Damage Manual
The Clash
Cowboys International
The Flowers of Romance
The Pop Group",NA,NA,NA,NA,NA,NA,"London, England","1978–1992, 2009–present","John LydonBruce SmithLu EdmondsScott Firth","Keith LeveneJah WobbleJim Walker
Vivian Jackson
David HumphreyRichard DudanskiKarl BurnsMartin AtkinsKen LockiePete JonesJohn McGeoch
Allan DiasRussell Webb","www.pilofficial.com","PiL
Public Image Limited
Public Image"
"616","Victor Wooten","jazz fusion, funk, funk rock, hip hop, progressive metal",NA,"Béla Fleck and the Flecktones, Steve Bailey, Vital Tech Tones, SMV, Greg Howe, Chick Corea Elektric Band, Michael Angelo Batio","Victor Lemonte Wooten","(1964-09-11) September 11, 1964 (age 53)Mountain Home, Idaho, United States",NA,"bass, fiddle, cello, drums, keyboards, guitar","Notable instruments","Musician, songwriter, producer, author, educator",NA,"1980–present",NA,NA,"www.victorwooten.com",NA
"617","The Saw Doctors","Rock, Celtic rock","Shamtown",NA,NA,NA,NA,NA,NA,NA,"Tuam, County Galway, Ireland","1986–2013, 2015–present","Leo MoranDavy Carton
Kevin DuffyAnthony Thistlethwaite
Rickie O'Neill","Fran Breen
John ""Turps"" BurkeEímhín Craddock
Pearse Doherty
John Donnelly
Jim Higgins
Tony Lambert
Derek Murray
Mary O'Connor
[Padraig Stevens]","The Saw Doctors' official website",NA
"618","K'naan","Alternative hip hop, world, alternative rock","A&M/Octone","Rayzak, Kierscey Rand, Adam Levine, David Guetta, Nelly Furtado, Nas, Will I Am, Chubb Rock","Keinan Abdi Warsame","(1978-02-01) 1 February 1978 (age 39)Mogadishu, Banaadir, Somalia",NA,"vocals, piano, guitar, percussion",NA,"instrumentalist, rapper, singer, poet","Toronto, Ontario, Canada","2000–present",NA,NA,"knaanmusic.com",NA
"619","Lissie","Country
folk
rock","Cooking Vinyl
Columbia
Fat Possum","Bigbang
Ellie Goulding
Robbie Williams
Morgan Page
Snow Patrol
Lenny Kravitz
Joshua Radin
Band of Horses","Elisabeth Corrin Maurus[1][2]","(1982-11-21) November 21, 1982 (age 34)Rock Island, Illinois, U.S.",NA,"Vocals
guitar",NA,"Singer-songwriter",NA,"2006–present",NA,NA,"lissie.com",NA
"620","Foster the People","Indie pop
alternative dance
indietronica
neo-psychedelia[1]","Startime, Columbia",NA,NA,NA,NA,NA,NA,NA,"Los Angeles, California, U.S.","2009–present","Mark Foster
Sean Cimino
Isom Innis
Mark Pontius","Cubbie Fink","fosterthepeople.com",NA
"621","Lykke Li","Indie pop[1][2]
dream pop[3]
art pop[4]
electropop[5]
dance-pop[6]","LL
Atlantic","LIV","Li Lykke Timotej Zachrisson","(1986-03-18) 18 March 1986 (age 31)Ystad, Skåne, Sweden",NA,"Vocals
piano
percussion
autoharp",NA,"Singer
songwriter
model",NA,"2007–present",NA,NA,"www.lykkeli.com",NA
"622","Bon Iver","Indie folk, chamber pop, folktronica","Jagjaguwar
4AD","Poliça
DeYarmond Edison
Volcano Choir
GAYNGS
The Shouting Matches
Megafaun
Kanye West
Jason Feathers
Justin Vernon
James Blake
S. Carey
Beck
The Staves",NA,NA,NA,NA,NA,NA,"Fall Creek, Wisconsin, United States","2006–present","Justin Vernon
Sean Carey
Matthew McCaughan
Michael Lewis
Andrew Fitzpatrick","Mike Noyce
CJ Camerieri
Rob Moose
Colin Stetson
Reggie Pace","boniver.org",NA
"623","Beach House","Dream pop
indie rock","Carpark
Bella Union
Sub Pop
We Are Free
Arts & Crafts México",NA,NA,NA,NA,NA,NA,NA,"Baltimore, Maryland, United States","2004–present","Victoria Legrand
Alex Scally",NA,"www.beachhousebaltimore.com",NA
"624","The Wombats","Indie rock
indie pop
post-punk[1]
new wave[1]","14th Floor
Bright Antenna",NA,NA,NA,NA,NA,NA,NA,"Liverpool, United Kingdom","2003–present","Dan Haggis
Tord Øverland Knudsen
Matthew Murphy",NA,"thewombats.co.uk",NA
"625","The Head and the Heart","Indie folk
folk rock
indie rock","Warner Bros.[1]Heavenly Recordings (UK)[2]Kobalt (UK)Sub Pop (U.S.)[3]",NA,NA,NA,NA,NA,NA,NA,"Seattle, Washington, United States","2009 (2009)–present","Jonathan Russell
Charity Rose Thielen
Matt Gervais
Chris Zasche
Kenny Hensley
Tyler Williams
Josiah Johnson (on hiatus)",NA,"www.theheadandtheheart.com",NA
"626","Trampled by Turtles","Indie folk
alternative country
bluegrass","BanjoDad",NA,NA,NA,NA,"Vocals, guitar, bass, mandolin, banjo, fiddle, harmonica",NA,NA,"Duluth, Minnesota, U.S.","2003–present","Dave Simonett
Tim Saxhaug
Dave Carroll
Erik Berry
Ryan Young",NA,"www.trampledbyturtles.com",NA
"627","The Naked and Famous","Indie electronic
post-punk revival[1]
indie rock[2]
synthpop[3]
electronic rock[4]
noise pop[5]
new wave[6]","Somewhat Damaged
Fiction
Universal Republic
Island","Kids of 88",NA,NA,NA,NA,NA,NA,"Auckland, New Zealand","2007 (2007)–present","Alisa Xayalith
Thom Powers
Aaron Short
David Beadle
Jesse Wood","Ben Knapp
Jordan Clark","thenakedandfamous.com",NA
"628","Portugal. The Man","Alternative rock
psychedelic rock
psychedelic pop
experimental
progressive rock","Fearless
Equal Vision
Atlantic
Approaching AIRballoons","The Revivalists
Anatomy of a Ghost
Danger Mouse
Casper
Mike D
Cage the Elephant
The Underachievers
Haim",NA,NA,NA,NA,NA,NA,"Wasilla, Alaska, United States","2004–present","John Gourley
Zachary Carothers
Kyle O'Quin
Eric Howk
Jason Sechrist","Aaron Steele
Kane Ritchotte
Ryan Neighbors
Noah Gersh
Garrett Lunceford
Wesley Hubbard
Nick Klein
Harvey Tumbleson
Zoe Manville
Dewey Halpaus","www.portugaltheman.com",NA
"629","Fitz & The Tantrums","Indie pop
neo soul","Dangerbird
MapleMusic
Elektra",NA,NA,NA,NA,NA,NA,NA,"Los Angeles, California, U.S.","2008–present","Michael Fitzpatrick
Noelle Scaggs
Joe Karnes
James King
Jeremy Ruzumna
John Wicks",NA,"fitzandthetantrums.com","The Tantrums"
"630","OFWGKTA","Hip hop","Odd Future
Sony
RED","Trash Talk
The Internet",NA,NA,NA,NA,NA,NA,"Los Angeles, California, United States","2007−present","Domo Genesis
Earl Sweatshirt
Frank Ocean
Hodgy
Jasper Dolphin
L-Boy
Left Brain
Mike G
Taco
Tyler, The Creator","Brandun DeShay
Casey Veggies
Matt Martians
Syd","oddfuture.com","OFWGKTA
Wolf Gang
Golf Wang
Loiter Squad
Bacon Boys
Flog Gnaw"
"631","Friendly Fires","Indie rock
indietronica
dance-punk
shoegazing[1][2]","XL",NA,NA,NA,NA,NA,NA,NA,"St Albans, Hertfordshire, England","2006–2014, 2017","Ed Macfarlane
Jack Savidge
Edd Gibson",NA,NA,NA
"632","Panic! At the Disco","Pop rock
pop
pop punk
baroque pop
emo pop
alternative rock","DCD2
Fueled by Ramen","The Young Veins",NA,NA,NA,NA,NA,NA,"Las Vegas, Nevada, U.S.","2004–present","Brendon Urie
Main touring members:
Dallon Weekes
Kenneth Harris
Dan Pawlovich","Ryan Ross
Spencer Smith
Brent Wilson
Jon Walker
Dallon Weekes (currently a touring member)","panicatthedisco.com","Panic at the Disco (2008–2009)[1][2]"
"633","The Airborne Toxic Event","Indie rock, alternative rock","Majordomo, Island, Epic[1]",NA,NA,NA,NA,NA,NA,NA,"Los Angeles, California, United States","2006–present","Mikel Jollett
Steven Chen
Daren Taylor
Anna Bulbrook
Adrian Rodriguez","Noah Harmon","theairbornetoxicevent.com",NA
"634","Theophilus London","Hip hop
alternative hip hop
PBR&B","Warner Bros.
Reprise",NA,"Theophilus Musa London","(1987-02-23) February 23, 1987 (age 30)Trinidad and Tobago",NA,NA,NA,"Rapper
singer
songwriter
producer
model","Brooklyn, New York City","2007–present",NA,NA,NA,NA
